sn,experiment,a11,a12,a13,a21,a22,a23,a31,a32,a33,a41,a42,a43,r11,r12,r13,r21,r22,r23,r31,r32,r33,r41,r42,r43,drecall11,drecall12,drecall13,drecall21,drecall22,drecall23,drecall31,drecall32,drecall33,drecall41,drecall42,drecall43,drecallDblExp11,drecallDblExp12,drecallDblExp13,drecallDblExp21,drecallDblExp22,drecallDblExp23,drecallDblExp31,drecallDblExp32,drecallDblExp33,drecallDblExp41,drecallDblExp42,drecallDblExp43,drecog11,drecog12,drecog13,drecog21,drecog22,drecog23,drecog31,drecog32,drecog33,drecog41,drecog42,drecog43,oriented_RED,unoriented_BLACK,delRec_Oriented,delRec_unoriented,delRec_unoriented_noCntrl
1020,1,0.67,0.76,0.89,0.56,0.79,0.94,0.77,0.8,0.95,0.74,0.81,0.94,571,589,560,624,542,554,620,518,513,640,615,565,0,0,0,0.03,0,0,0.03,0.02,0,0,0,0,0,0,0.06,0,0.05,0,0,0,0.05,0,0,0, , , , , , , , , , , , ,0,0.008888889, , , 
1021,1,0.83,0.79,0.89,0.86,0.88,0.94,0.67,0.94,0.85,0.83,0.82,0.89,607,583,612,593,586,603,573,583,515,629,560,623,0,0,0.03,0,0.02,0,0,0,0,0.03,0.03,0,0,0,0.06,0,0,0,0.07,0,0.05,0,0,0, , , , , , , , , , , , ,0.006666667,0.01, , , 
1022,1,0.91,0.79,1,0.93,0.86,1,0.95,0.73,1,1,0.75,1,577,604,554,641,527,561,639,619,470,615,606,545,0,0,0,0,0,0,0,0,0.02,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.07,0,0.04, , , , , , , , , , , , ,0.006666667,0, , , 
1023,1,1,0.67,0.62,0.75,0.9,0.67,0.68,0.53,0.94,0.68,0.67,1,578,769,698,673,588,729,776,694,528,682,685,596,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0,0.003333333, , , 
1024,1,0.94,0.76,0.81,0.68,1,0.75,0.85,0.9,0.93,0.63,0.6,0.82,557,629,730,636,546,714,648,615,539,624,625,575,0,0,0,0,0,0,0.03,0,0.08,0,0,0.03,0.06,0.06,0,0,0.07,0,0.05,0.05,0,0,0,0, , , , , , , , , , , , ,0.026666667,0.006666667, , , 
1025,1,0.93,0.63,0.62,0.85,0.95,0.88,0.87,0.62,0.94,0.57,0.92,1,471,542,496,559,403,504,520,554,421,579,513,410,0,0,0,0.03,0,0,0.02,0,0.03,0.04,0,0,0.07,0.05,0.1,0.05,0,0,0.07,0,0,0,0,0.06, , , , , , , , , , , , ,0.01,0.01, , , 
1026,1,0.83,0.57,0.78,0.78,1,0.84,0.85,0.68,1,0.67,0.8,1,608,930,783,769,698,749,874,794,542,744,799,713,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.09,0,0,0.05,0,0.05,0,0,0.05,0, , , , , , , , , , , , ,0,0.003333333, , , 
1027,1,0.94,0.8,0.69,0.88,0.92,0.78,0.71,0.74,1,0.75,0.8,0.79,1223,1249,1210,1258,1150,1406,1366,1366,931,1153,1420,1134,0.08,0.03,0.03,0,0,0.1,0,0.04,0.03,0.03,0,0,0,0,0,0.06,0.08,0.04,0.05,0,0,0.06,0.05,0, , , , , , , , , , , , ,0.036666667,0.025555556, , , 
1028,1,1,0.79,0.95,0.82,0.94,0.95,0.71,0.9,0.94,0.63,0.79,0.94,728,752,661,769,699,664,898,761,673,671,798,706,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.05,0, , , , , , , , , , , , ,0.01,0.003333333, , , 
1029,1,0.81,0.72,0.95,0.83,0.82,0.89,0.78,0.85,0.93,0.74,0.78,0.88,692,696,654,843,716,622,767,709,570,777,701,614,0,0,0.03,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.12,0,0,0,0,0,0.11,0, , , , , , , , , , , , ,0,0.003333333, , , 
1030,1,0.94,0.86,1,0.82,0.92,0.86,1,0.95,1,1,0.75,0.85,745,658,620,692,675,671,676,645,693,753,759,703,0,0,0,0,0,0.02,0,0,0.03,0.02,0.04,0.03,0,0,0,0,0,0.05,0,0,0,0,0.04,0, , , , , , , , , , , , ,0.01,0.012222222, , , 
1031,1,0.75,0.75,0.86,0.4,0.81,0.84,0.69,0.76,0.94,1,0.7,0.94,597,640,536,681,613,550,695,679,511,593,586,491,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0.013333333,0, , , 
1032,1,1,0.95,1,1,0.83,0.8,1,0.69,0.9,1,0.92,0.89,507,558,613,465,636,612,509,569,634,502,569,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.07,0.1,0,0,0.14,0,0.05, , , , , , , , , , , , ,0,0, , , 
1033,1,0.88,0.94,0.95,0.83,1,0.94,0.95,0.83,0.9,0.67,0.86,0.94,696,737,670,723,686,654,709,749,723,712,760,630,0,0,0,0,0,0.02,0,0,0,0,0,0,0.06,0,0.05,0,0,0,0.05,0,0,0.07,0,0, , , , , , , , , , , , ,0,0.002222222, , , 
1034,1,0.94,0.91,1,0.95,0.92,0.95,0.87,0.95,1,0.77,0.82,1,543,635,491,622,511,478,591,742,500,592,542,438,0,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0.07,0,0.08,0,0.09,0.05,0,0,0,0, , , , , , , , , , , , ,0.016666667,0, , , 
1035,1,1,0.82,0.88,0.81,0.92,0.93,0.81,0.92,1,0.69,0.95,1,683,689,675,835,727,706,802,712,617,734,813,589,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.07,0,0,0, , , , , , , , , , , , ,0.006666667,0, , , 
1037,1,1,0.7,0.9,0.81,0.95,0.71,0.78,0.82,0.95,1,0.82,0.89,497,613,603,525,526,576,624,570,506,576,565,474,0.05,0,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.09,0, , , , , , , , , , , , ,0.016666667,0.005555556, , , 
1038,1,0.9,0.78,0.75,0.84,0.94,0.81,0.69,0.72,1,0.85,0.89,0.88,783,875,783,773,781,759,841,794,615,863,788,841,0.06,0,0.03,0,0,0,0,0,0,0,0,0.03,0,0.06,0,0.05,0,0,0,0,0,0,0.06,0.13, , , , , , , , , , , , ,0.02,0.006666667, , , 
1039,1,0.93,0.91,0.83,0.89,1,0.8,0.84,0.88,1,0.89,0.85,0.95,622,693,688,685,595,786,620,749,551,649,650,621,0,0.04,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.06,0.11,0,0, , , , , , , , , , , , ,0,0.01, , , 
